,No. overall,No. in season,Title,Stardate,Directed by,Written by,Original air date,U.S. viewers (millions),merge_index
10,84,10,"""The Loss""",44356.9,Chip Chalmers,Teleplay: Hilary J. Bader & Alan J. Adler and Vanessa Greene Story: Hilary J. Bader,"December?31,?1990?(1990-12-31)",12.2[5],83
11,85,11,"""Data's Day""",44390.1,Robert Wiemer,Teleplay: Harold Apter and Ronald D. Moore Story: Harold Apter,"January?7,?1991?(1991-01-07)",11.7[5],84
12,86,12,"""The Wounded""",44429.6,Chip Chalmers,Teleplay: Jeri Taylor Story: Stuart Charno & Sara Charno and Cy Chermak,"January?28,?1991?(1991-01-28)",12.1[5],85
13,87,13,"""Devil's Due""",44474.5,Tom Benko,Teleplay: Philip LaZebnik Story: Philip LaZebnik and William Douglas Lansford,"February?4,?1991?(1991-02-04)",13.0[5],86
14,88,14,"""Clues""",44502.7,Les Landau,Teleplay: Bruce D. Arthurs and Joe Menosky Story: Bruce D. Arthurs,"February?11,?1991?(1991-02-11)",12.3[5],87
15,89,15,"""First Contact""",44575.2,Cliff Bole,Teleplay: Dennis Russell Bailey & David Bischoff and Joe Menosky & Ronald D. Moore and Michael Piller Story: Marc Scott Zicree,"February?18,?1991?(1991-02-18)",11.4[5],88
16,90,16,"""Galaxy's Child""",44614.6,Winrich Kolbe,Teleplay: Maurice Hurley Story: Thomas Kartozian,"March?11,?1991?(1991-03-11)",11.7[5],89
17,91,17,"""Night Terrors""",44631.2,Les Landau,Teleplay: Pamela Douglas and Jeri Taylor Story: Shari Goodhartz,"March?18,?1991?(1991-03-18)",11.2[5],90
18,92,18,"""Identity Crisis""",44664.5,Winrich Kolbe,Teleplay: Brannon Braga Story: Timothy DeHaas,"March?25,?1991?(1991-03-25)",10.9[5],91
19,93,19,"""The Nth Degree""",44704.2,Robert Legato,Joe Menosky,"April?1,?1991?(1991-04-01)",11.0[5],92
20,94,20,"""Qpid""",44741.9,Cliff Bole,Teleplay: Ira Steven Behr Story: Randee Russell and Ira Steven Behr,"April?22,?1991?(1991-04-22)",10.8[5],93
21,95,21,"""The Drumhead""",44769.2,Jonathan Frakes,Jeri Taylor,"April?29,?1991?(1991-04-29)",10.5[5],94
22,96,22,"""Half a Life""",44805.3,Les Landau,Teleplay: Peter Allan Fields Story: Ted Roberts and Peter Allan Fields,"May?6,?1991?(1991-05-06)",Unknown[5],95
23,97,23,"""The Host""",44821.3,Marvin V. Rush,Michel Horvat,"May?13,?1991?(1991-05-13)",11.3[5],96
24,98,24,"""The Mind's Eye""",44885.5,David Livingston,Teleplay: Ren? Echevarria Story: Ken Schafer and Ren? Echevarria,"May?27,?1991?(1991-05-27)",10.1[5],97
25,99,25,"""In Theory""",44932.3,Patrick Stewart,Joe Menosky and Ronald D. Moore,"June?3,?1991?(1991-06-03)",9.8[5],98
26,100,26,"""Redemption I""",44995.3,Cliff Bole,Ronald D. Moore,"June?17,?1991?(1991-06-17)",10.9[5],99
1,101,1,"""Redemption II""",45021.3,David Carson,Ronald D. Moore,"September?23,?1991?(1991-09-23)",N/A[6],100
2,102,2,"""Darmok""",45047.2,Winrich Kolbe,Teleplay: Joe Menosky Story: Philip LaZebnik and Joe Menosky,"September?30,?1991?(1991-09-30)",N/A[6],101
